gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Grade3,Grade2,Grade1,Fail
male,group A,high school,free/reduced,completed,88,47,51,0,1,0,0
female,group B,master's degree,free/reduced,completed,55,69,83,0,1,0,0
female,group B,associate's degree,free/reduced,none,56,72,51,1,0,0,0
male,group C,master's degree,standard,completed,74,63,21,1,0,0,0
female,group C,some high school,free/reduced,completed,93,58,54,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,82,81,91,0,0,1,0
female,group E,associate's degree,free/reduced,none,65,57,85,0,1,0,0
female,group D,associate's degree,standard,none,87,100,58,0,0,1,0
male,group B,high school,free/reduced,completed,70,23,100,0,1,0,0
male,group E,associate's degree,free/reduced,completed,67,67,60,0,1,0,0
female,group B,some high school,standard,none,89,56,70,0,1,0,0
male,group C,master's degree,free/reduced,completed,51,61,71,0,1,0,0
male,group B,high school,free/reduced,none,95,33,57,0,1,0,0
female,group D,high school,standard,completed,78,76,82,0,1,0,0
female,group A,bachelor's degree,free/reduced,none,88,58,74,0,1,0,0
female,group B,bachelor's degree,free/reduced,completed,27,77,62,1,0,0,0
male,group D,some high school,standard,none,71,94,84,0,0,1,0
male,group A,master's degree,standard,completed,94,51,62,0,1,0,0
female,group D,master's degree,standard,completed,53,62,38,1,0,0,0
female,group D,high school,standard,completed,38,50,55,1,0,0,0
male,group A,master's degree,standard,none,64,47,75,0,1,0,0
female,group C,master's degree,standard,completed,99,30,68,0,1,0,0
male,group A,some high school,standard,completed,86,53,94,0,1,0,0
male,group C,some high school,free/reduced,none,16,47,63,1,0,0,0
female,group D,some high school,free/reduced,none,64,71,69,0,1,0,0
male,group E,master's degree,free/reduced,completed,56,77,44,1,0,0,0
male,group E,master's degree,standard,completed,62,72,75,0,1,0,0
female,group D,high school,standard,completed,91,63,84,0,1,0,0
female,group E,associate's degree,free/reduced,none,54,78,92,0,1,0,0
female,group C,associate's degree,free/reduced,completed,69,66,97,0,1,0,0
male,group C,associate's degree,free/reduced,completed,90,69,22,0,1,0,0
female,group D,high school,free/reduced,none,65,81,59,0,1,0,0
female,group E,high school,free/reduced,completed,32,39,78,1,0,0,0
male,group A,associate's degree,standard,completed,43,75,80,0,1,0,0
male,group C,master's degree,standard,completed,59,38,75,1,0,0,0
male,group E,high school,standard,completed,63,44,54,1,0,0,0
female,group B,master's degree,free/reduced,none,41,64,47,1,0,0,0
female,group C,master's degree,free/reduced,completed,69,66,81,0,1,0,0
female,group B,bachelor's degree,free/reduced,completed,66,98,60,0,1,0,0
female,group C,associate's degree,free/reduced,none,66,84,46,0,1,0,0
female,group C,associate's degree,free/reduced,completed,67,50,37,1,0,0,0
female,group A,some high school,free/reduced,completed,50,58,69,1,0,0,0
female,group B,associate's degree,free/reduced,none,83,100,53,0,1,0,0
female,group B,some high school,standard,none,35,42,70,1,0,0,0
male,group C,master's degree,standard,none,82,53,40,1,0,0,0
female,group D,associate's degree,standard,completed,81,68,100,0,0,1,0
female,group A,high school,free/reduced,none,64,32,76,1,0,0,0
female,group E,high school,standard,completed,71,10,56,1,0,0,0
female,group E,associate's degree,free/reduced,completed,59,83,31,1,0,0,0
female,group B,high school,free/reduced,none,37,70,53,1,0,0,0
male,group E,some high school,free/reduced,none,70,51,100,0,1,0,0
male,group C,some high school,free/reduced,completed,54,95,55,0,1,0,0
male,group D,master's degree,standard,none,40,53,77,1,0,0,0
female,group C,master's degree,free/reduced,none,78,39,60,1,0,0,0
female,group A,high school,standard,completed,77,24,45,1,0,0,0
male,group E,some high school,free/reduced,none,33,65,60,1,0,0,0
female,group E,associate's degree,free/reduced,none,81,28,50,1,0,0,0
male,group B,bachelor's degree,free/reduced,none,78,100,69,0,0,1,0
female,group A,some high school,free/reduced,none,70,55,73,0,1,0,0
female,group B,high school,free/reduced,none,57,70,20,1,0,0,0
male,group D,master's degree,standard,none,79,14,57,1,0,0,0
male,group B,associate's degree,free/reduced,none,73,100,50,0,1,0,0
male,group B,high school,standard,none,40,71,42,1,0,0,0
female,group B,some high school,free/reduced,none,78,96,89,0,0,1,0
male,group B,some high school,standard,none,78,69,67,0,1,0,0
female,group C,some high school,standard,none,66,87,31,0,1,0,0
male,group E,some high school,standard,completed,96,75,91,0,0,1,0
male,group D,some high school,standard,none,64,81,82,0,1,0,0
female,group C,associate's degree,standard,none,64,60,60,0,1,0,0
male,group D,master's degree,standard,none,87,28,45,1,0,0,0
female,group A,some high school,standard,completed,75,67,88,0,1,0,0
female,group A,some high school,standard,none,38,27,54,0,0,0,1
female,group E,some high school,free/reduced,none,88,100,43,0,1,0,0
female,group A,associate's degree,free/reduced,completed,12,87,90,0,1,0,0
male,group D,some high school,standard,none,24,67,61,1,0,0,0
female,group B,associate's degree,standard,completed,58,64,75,0,1,0,0
male,group A,some high school,free/reduced,none,50,79,42,1,0,0,0
male,group A,master's degree,free/reduced,none,41,79,60,0,1,0,0
female,group C,bachelor's degree,standard,none,58,59,44,1,0,0,0
male,group B,high school,free/reduced,none,72,40,83,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,61,56,87,0,1,0,0
male,group D,bachelor's degree,free/reduced,none,90,22,30,1,0,0,0
female,group B,bachelor's degree,standard,none,54,64,87,0,1,0,0
female,group A,high school,free/reduced,none,71,31,38,1,0,0,0
female,group C,bachelor's degree,standard,completed,80,71,77,0,1,0,0
male,group C,high school,standard,none,65,92,62,0,1,0,0
female,group B,bachelor's degree,free/reduced,none,51,97,96,0,0,1,0
male,group E,high school,free/reduced,none,28,39,53,1,0,0,0
female,group C,some high school,free/reduced,none,66,36,77,1,0,0,0
male,group C,associate's degree,standard,completed,45,86,46,1,0,0,0
male,group E,some high school,standard,completed,100,40,68,0,1,0,0
female,group C,some high school,standard,none,31,85,58,1,0,0,0
male,group A,some high school,free/reduced,none,70,52,100,0,1,0,0
male,group C,associate's degree,standard,none,85,53,69,0,1,0,0
female,group C,master's degree,free/reduced,none,100,82,92,0,0,1,0
female,group A,high school,free/reduced,completed,74,69,70,0,1,0,0
female,group E,some high school,free/reduced,completed,39,61,46,1,0,0,0
male,group B,bachelor's degree,free/reduced,none,84,55,67,0,1,0,0
male,group D,bachelor's degree,free/reduced,completed,56,67,85,0,1,0,0
female,group D,some high school,standard,none,90,82,12,0,1,0,0
female,group B,associate's degree,standard,completed,80,79,66,0,1,0,0
male,group C,bachelor's degree,free/reduced,completed,100,52,51,0,1,0,0
female,group A,bachelor's degree,free/reduced,none,35,57,59,1,0,0,0
female,group B,bachelor's degree,standard,completed,33,78,60,1,0,0,0
female,group D,associate's degree,standard,none,47,85,61,0,1,0,0
female,group C,master's degree,standard,none,63,66,88,0,1,0,0
female,group E,associate's degree,free/reduced,completed,58,52,54,1,0,0,0
female,group A,some high school,standard,none,74,75,40,0,1,0,0
male,group C,bachelor's degree,standard,none,76,58,42,1,0,0,0
female,group B,some high school,standard,none,54,78,69,0,1,0,0
male,group D,master's degree,standard,none,35,58,77,1,0,0,0
female,group E,some high school,free/reduced,none,75,61,47,0,1,0,0
female,group C,master's degree,standard,completed,84,76,66,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,65,89,100,0,0,1,0
female,group C,high school,standard,none,54,73,78,0,1,0,0
female,group C,bachelor's degree,free/reduced,none,73,79,75,0,1,0,0
female,group D,associate's degree,standard,completed,82,62,68,0,1,0,0
male,group E,high school,standard,completed,66,91,69,0,1,0,0
male,group B,bachelor's degree,standard,completed,66,61,69,0,1,0,0
male,group B,some high school,standard,completed,89,36,69,0,1,0,0
female,group D,associate's degree,standard,none,73,80,85,0,1,0,0
female,group A,high school,standard,none,53,100,87,0,0,1,0
female,group E,associate's degree,free/reduced,completed,100,88,56,0,0,1,0
male,group B,high school,standard,completed,79,64,91,0,1,0,0
male,group D,high school,free/reduced,completed,67,55,58,0,1,0,0
male,group A,bachelor's degree,standard,completed,74,70,58,0,1,0,0
male,group A,high school,standard,completed,96,51,52,0,1,0,0
female,group A,some high school,standard,completed,42,100,41,0,1,0,0
male,group A,master's degree,free/reduced,completed,68,76,74,0,1,0,0
female,group C,master's degree,standard,completed,90,75,44,0,1,0,0
male,group D,bachelor's degree,standard,none,64,64,36,1,0,0,0
male,group E,master's degree,standard,completed,71,64,63,0,1,0,0
female,group B,associate's degree,free/reduced,none,41,72,75,0,1,0,0
female,group C,associate's degree,standard,none,65,42,95,0,1,0,0
female,group B,bachelor's degree,free/reduced,completed,83,85,67,0,1,0,0
female,group A,master's degree,standard,completed,45,59,100,0,1,0,0
female,group B,high school,free/reduced,completed,78,71,49,0,1,0,0
male,group C,some high school,standard,none,66,52,79,0,1,0,0
female,group D,bachelor's degree,standard,none,73,67,84,0,1,0,0
female,group B,associate's degree,free/reduced,none,61,41,78,1,0,0,0
female,group E,some high school,free/reduced,none,96,44,54,0,1,0,0
male,group E,associate's degree,standard,completed,75,25,48,1,0,0,0
male,group C,master's degree,free/reduced,completed,65,87,63,0,1,0,0
male,group B,master's degree,standard,completed,93,80,66,0,1,0,0
female,group A,associate's degree,standard,none,97,99,56,0,0,1,0
female,group D,high school,free/reduced,completed,77,88,39,0,1,0,0
female,group E,some high school,free/reduced,completed,34,75,70,1,0,0,0
male,group B,bachelor's degree,standard,completed,13,73,63,1,0,0,0
female,group D,master's degree,free/reduced,completed,50,20,70,1,0,0,0
female,group A,associate's degree,free/reduced,none,86,59,65,0,1,0,0
female,group D,master's degree,free/reduced,none,63,74,59,0,1,0,0
female,group B,master's degree,standard,completed,60,90,78,0,1,0,0
male,group A,bachelor's degree,standard,none,37,32,89,1,0,0,0
female,group E,some high school,free/reduced,completed,72,91,59,0,1,0,0
male,group D,high school,standard,completed,73,59,56,0,1,0,0
female,group E,some high school,free/reduced,none,80,63,67,0,1,0,0
female,group D,high school,standard,none,25,100,61,0,1,0,0
female,group B,some high school,standard,none,62,87,23,1,0,0,0
female,group D,master's degree,standard,completed,100,66,67,0,1,0,0
female,group B,master's degree,free/reduced,none,53,100,61,0,1,0,0
female,group A,high school,free/reduced,completed,69,69,68,0,1,0,0
male,group D,associate's degree,standard,none,87,89,78,0,0,1,0
male,group E,some high school,standard,completed,42,85,60,0,1,0,0
male,group E,master's degree,free/reduced,none,71,49,83,0,1,0,0
male,group A,associate's degree,free/reduced,none,62,36,47,1,0,0,0
male,group A,master's degree,free/reduced,none,39,32,47,0,0,0,1
male,group A,some high school,standard,none,96,59,64,0,1,0,0
male,group C,high school,standard,completed,100,66,32,0,1,0,0
female,group C,high school,standard,none,68,91,67,0,1,0,0
male,group E,bachelor's degree,free/reduced,none,41,96,63,0,1,0,0
male,group B,master's degree,standard,completed,37,100,71,0,1,0,0
male,group D,associate's degree,standard,completed,70,55,71,0,1,0,0
female,group A,associate's degree,free/reduced,none,64,72,73,0,1,0,0
male,group A,high school,free/reduced,completed,62,81,75,0,1,0,0
male,group C,master's degree,free/reduced,completed,19,66,66,1,0,0,0
male,group B,some high school,free/reduced,completed,56,43,69,1,0,0,0
male,group B,associate's degree,free/reduced,completed,70,81,54,0,1,0,0
female,group B,some high school,standard,none,48,100,41,0,1,0,0
male,group D,high school,free/reduced,none,71,39,68,1,0,0,0
male,group C,bachelor's degree,free/reduced,completed,38,80,54,1,0,0,0
male,group B,associate's degree,free/reduced,none,68,53,100,0,1,0,0
male,group A,some high school,free/reduced,none,86,55,32,1,0,0,0
female,group E,bachelor's degree,standard,none,86,43,51,1,0,0,0
male,group D,master's degree,free/reduced,completed,70,34,72,1,0,0,0
female,group D,master's degree,standard,none,82,35,38,1,0,0,0
male,group B,bachelor's degree,standard,completed,76,67,76,0,1,0,0
male,group B,some high school,free/reduced,completed,47,65,73,0,1,0,0
female,group E,bachelor's degree,free/reduced,completed,50,81,52,0,1,0,0
female,group B,some high school,free/reduced,completed,70,40,65,1,0,0,0
male,group D,some high school,free/reduced,completed,42,34,41,0,0,0,1
male,group C,associate's degree,standard,completed,51,100,42,0,1,0,0
male,group C,associate's degree,free/reduced,completed,25,89,15,1,0,0,0
female,group B,master's degree,free/reduced,completed,66,76,77,0,1,0,0
female,group A,master's degree,free/reduced,completed,56,54,67,1,0,0,0
female,group A,high school,free/reduced,none,76,100,59,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,44,59,53,1,0,0,0
female,group D,some high school,free/reduced,completed,61,70,46,1,0,0,0
male,group D,high school,free/reduced,completed,66,60,39,1,0,0,0
male,group C,high school,standard,none,34,68,58,1,0,0,0
male,group C,some high school,free/reduced,none,58,51,71,1,0,0,0
female,group A,bachelor's degree,standard,none,52,50,50,1,0,0,0
female,group D,master's degree,standard,completed,14,84,38,1,0,0,0
male,group C,bachelor's degree,standard,completed,61,57,42,1,0,0,0
male,group B,associate's degree,free/reduced,completed,73,92,45,0,1,0,0
male,group A,master's degree,free/reduced,completed,77,45,64,0,1,0,0
female,group C,master's degree,standard,completed,64,46,56,1,0,0,0
female,group B,associate's degree,free/reduced,none,47,48,19,0,0,0,1
male,group B,master's degree,free/reduced,none,71,50,61,0,1,0,0
female,group B,bachelor's degree,standard,none,57,65,91,0,1,0,0
female,group C,some high school,free/reduced,none,66,50,74,0,1,0,0
male,group E,master's degree,standard,none,51,81,90,0,1,0,0
male,group C,some high school,free/reduced,completed,49,91,45,0,1,0,0
male,group C,associate's degree,standard,none,38,89,79,0,1,0,0
female,group B,bachelor's degree,free/reduced,none,51,79,61,0,1,0,0
male,group B,high school,standard,none,63,64,44,1,0,0,0
female,group E,master's degree,standard,none,100,73,70,0,0,1,0
male,group A,associate's degree,standard,completed,47,43,58,1,0,0,0
female,group D,master's degree,standard,completed,59,65,80,0,1,0,0
female,group A,high school,free/reduced,none,58,72,97,0,1,0,0
male,group D,associate's degree,standard,completed,48,83,100,0,1,0,0
female,group E,master's degree,free/reduced,completed,71,54,77,0,1,0,0
male,group D,master's degree,standard,none,81,82,48,0,1,0,0
male,group E,bachelor's degree,free/reduced,none,70,53,75,0,1,0,0
female,group B,some high school,standard,none,58,77,70,0,1,0,0
female,group C,some high school,standard,none,61,79,94,0,1,0,0
male,group B,some high school,standard,none,98,100,70,0,0,1,0
female,group A,some high school,standard,none,70,36,43,1,0,0,0
male,group C,master's degree,standard,completed,96,40,51,0,1,0,0
female,group E,master's degree,standard,completed,78,57,57,0,1,0,0
male,group D,some high school,free/reduced,none,100,59,68,0,1,0,0
male,group D,bachelor's degree,standard,completed,51,100,58,0,1,0,0
male,group D,bachelor's degree,free/reduced,none,45,73,86,0,1,0,0
female,group E,bachelor's degree,standard,none,82,42,61,0,1,0,0
male,group A,some high school,standard,none,75,38,69,0,1,0,0
male,group D,bachelor's degree,standard,none,77,60,46,0,1,0,0
female,group D,associate's degree,free/reduced,none,72,66,75,0,1,0,0
female,group E,some high school,free/reduced,none,48,57,76,0,1,0,0
male,group E,master's degree,standard,none,79,63,83,0,1,0,0
female,group B,associate's degree,free/reduced,completed,94,83,81,0,0,1,0
female,group D,bachelor's degree,standard,none,80,90,63,0,1,0,0
female,group C,bachelor's degree,standard,completed,61,64,70,0,1,0,0
male,group B,some high school,free/reduced,completed,65,50,17,1,0,0,0
male,group B,associate's degree,standard,completed,83,79,67,0,1,0,0
female,group B,bachelor's degree,standard,completed,63,100,48,0,1,0,0
male,group C,associate's degree,free/reduced,none,77,33,88,0,1,0,0
male,group A,high school,free/reduced,completed,49,62,74,0,1,0,0
female,group E,master's degree,standard,completed,100,59,68,0,1,0,0
female,group A,some high school,standard,completed,76,56,43,1,0,0,0
female,group A,high school,standard,completed,61,63,87,0,1,0,0
male,group D,bachelor's degree,free/reduced,completed,22,64,68,1,0,0,0
female,group D,master's degree,free/reduced,completed,86,55,51,0,1,0,0
male,group A,high school,standard,completed,100,100,60,0,0,1,0
female,group A,high school,standard,none,51,71,50,1,0,0,0
male,group C,high school,free/reduced,none,38,60,90,0,1,0,0
male,group E,some high school,free/reduced,none,51,66,82,0,1,0,0
female,group D,bachelor's degree,standard,completed,73,43,81,0,1,0,0
male,group A,bachelor's degree,free/reduced,none,60,46,73,1,0,0,0
female,group C,some high school,standard,none,75,65,70,0,1,0,0
male,group E,high school,standard,completed,64,61,85,0,1,0,0
male,group C,master's degree,free/reduced,none,100,69,49,0,1,0,0
male,group A,bachelor's degree,standard,completed,77,71,56,0,1,0,0
male,group C,high school,free/reduced,completed,23,53,91,1,0,0,0
female,group B,master's degree,standard,completed,65,70,56,0,1,0,0
male,group D,high school,free/reduced,none,97,59,89,0,0,1,0
female,group A,master's degree,standard,none,95,55,78,0,1,0,0
male,group D,master's degree,standard,completed,89,43,57,0,1,0,0
female,group C,bachelor's degree,standard,none,75,53,41,1,0,0,0
male,group C,some high school,free/reduced,none,75,69,72,0,1,0,0
male,group D,master's degree,free/reduced,completed,75,82,72,0,1,0,0
male,group C,associate's degree,standard,completed,39,53,46,1,0,0,0
male,group C,bachelor's degree,free/reduced,none,59,57,64,1,0,0,0
female,group A,associate's degree,standard,none,76,83,85,0,0,1,0
female,group A,bachelor's degree,free/reduced,none,100,36,60,0,1,0,0
male,group E,bachelor's degree,standard,none,27,59,33,0,0,0,1
male,group A,bachelor's degree,free/reduced,completed,81,41,40,1,0,0,0
female,group E,some high school,standard,completed,32,55,72,1,0,0,0
male,group E,bachelor's degree,free/reduced,none,93,99,63,0,0,1,0
male,group E,some high school,standard,none,78,100,29,0,1,0,0
female,group A,associate's degree,standard,completed,51,100,43,0,1,0,0
male,group D,some high school,free/reduced,none,67,33,60,1,0,0,0
male,group C,bachelor's degree,standard,completed,48,95,77,0,1,0,0
male,group A,high school,free/reduced,none,53,64,56,1,0,0,0
male,group A,master's degree,free/reduced,none,51,54,100,0,1,0,0
female,group E,bachelor's degree,standard,none,61,65,87,0,1,0,0
male,group B,associate's degree,standard,completed,53,82,53,0,1,0,0
male,group A,some high school,standard,none,67,22,65,1,0,0,0
male,group C,associate's degree,free/reduced,none,87,51,35,1,0,0,0
female,group C,bachelor's degree,standard,completed,41,82,41,1,0,0,0
female,group D,high school,free/reduced,completed,86,81,76,0,0,1,0
male,group D,high school,standard,completed,87,77,52,0,1,0,0
male,group D,bachelor's degree,free/reduced,none,70,32,47,1,0,0,0
male,group B,master's degree,free/reduced,completed,89,30,69,0,1,0,0
female,group C,bachelor's degree,standard,none,80,69,99,0,0,1,0
male,group B,some high school,free/reduced,completed,16,96,61,1,0,0,0
male,group E,some high school,free/reduced,none,50,92,62,0,1,0,0
female,group D,master's degree,standard,none,100,50,46,0,1,0,0
female,group D,bachelor's degree,standard,completed,43,71,70,0,1,0,0
male,group A,associate's degree,standard,completed,91,32,86,0,1,0,0
male,group B,bachelor's degree,free/reduced,none,88,46,56,0,1,0,0
male,group B,bachelor's degree,standard,completed,74,92,89,0,0,1,0
female,group D,some high school,free/reduced,completed,67,43,67,1,0,0,0
female,group C,associate's degree,standard,none,60,97,76,0,1,0,0
male,group E,high school,standard,none,59,13,41,0,0,0,1
female,group D,some high school,free/reduced,none,34,35,76,1,0,0,0
male,group A,some high school,free/reduced,completed,24,55,51,1,0,0,0
male,group C,associate's degree,standard,completed,49,53,62,1,0,0,0
female,group E,bachelor's degree,free/reduced,none,56,40,68,1,0,0,0
male,group E,associate's degree,free/reduced,none,55,76,79,0,1,0,0
female,group A,high school,free/reduced,none,82,51,74,0,1,0,0
male,group A,master's degree,standard,completed,70,74,87,0,1,0,0
male,group C,bachelor's degree,free/reduced,none,67,58,100,0,1,0,0
female,group D,some high school,free/reduced,none,47,66,64,1,0,0,0
male,group B,bachelor's degree,standard,none,98,78,50,0,1,0,0
male,group C,associate's degree,standard,none,92,48,63,0,1,0,0
female,group C,bachelor's degree,free/reduced,none,84,68,65,0,1,0,0
female,group D,master's degree,free/reduced,none,77,6,78,1,0,0,0
female,group B,master's degree,standard,none,69,67,87,0,1,0,0
female,group E,bachelor's degree,standard,none,47,51,54,1,0,0,0
male,group C,some high school,standard,none,82,53,69,0,1,0,0
male,group E,bachelor's degree,standard,none,77,74,50,0,1,0,0
male,group B,bachelor's degree,standard,none,69,61,54,0,1,0,0
male,group D,master's degree,free/reduced,completed,27,69,65,1,0,0,0
female,group D,bachelor's degree,standard,completed,49,85,90,0,1,0,0
male,group D,high school,free/reduced,none,82,61,60,0,1,0,0
male,group A,some high school,standard,none,25,95,55,1,0,0,0
male,group A,high school,standard,completed,52,69,43,1,0,0,0
female,group D,master's degree,standard,none,81,86,100,0,0,1,0
male,group C,high school,standard,none,76,81,52,0,1,0,0
male,group A,high school,free/reduced,completed,34,79,97,0,1,0,0
male,group B,some high school,standard,none,69,44,69,0,1,0,0
female,group C,master's degree,free/reduced,none,86,77,62,0,1,0,0
male,group E,some high school,standard,none,16,62,93,1,0,0,0
female,group E,master's degree,free/reduced,none,84,53,48,0,1,0,0
male,group A,bachelor's degree,free/reduced,none,53,59,77,0,1,0,0
female,group A,master's degree,standard,completed,89,85,59,0,1,0,0
male,group B,associate's degree,standard,none,90,59,57,0,1,0,0
male,group C,some high school,standard,none,75,78,62,0,1,0,0
female,group B,associate's degree,standard,completed,41,98,47,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,78,85,75,0,1,0,0
female,group B,master's degree,standard,none,34,42,61,1,0,0,0
male,group A,bachelor's degree,standard,completed,12,65,60,1,0,0,0
female,group B,bachelor's degree,standard,completed,60,96,48,0,1,0,0
female,group B,bachelor's degree,free/reduced,completed,51,60,69,1,0,0,0
female,group E,some high school,free/reduced,none,22,70,85,1,0,0,0
male,group D,associate's degree,free/reduced,completed,38,68,70,1,0,0,0
male,group E,associate's degree,standard,completed,63,32,61,1,0,0,0
female,group D,high school,standard,none,98,69,33,0,1,0,0
female,group B,associate's degree,free/reduced,completed,61,52,52,1,0,0,0
female,group A,high school,free/reduced,completed,53,42,46,1,0,0,0
male,group E,bachelor's degree,free/reduced,none,42,82,78,0,1,0,0
female,group D,some high school,free/reduced,none,60,59,68,0,1,0,0
male,group B,master's degree,standard,completed,31,51,51,1,0,0,0
female,group E,master's degree,standard,completed,90,39,69,0,1,0,0
male,group C,master's degree,standard,completed,71,79,17,1,0,0,0
female,group A,bachelor's degree,free/reduced,completed,77,66,72,0,1,0,0
male,group E,some high school,standard,none,55,54,76,0,1,0,0
male,group B,some high school,free/reduced,none,80,74,65,0,1,0,0
male,group E,high school,standard,completed,46,82,93,0,1,0,0
male,group D,high school,standard,none,89,59,65,0,1,0,0
female,group D,master's degree,standard,completed,92,70,66,0,1,0,0
female,group C,master's degree,free/reduced,none,39,83,61,0,1,0,0
male,group B,bachelor's degree,free/reduced,completed,80,61,52,0,1,0,0
female,group D,master's degree,standard,none,91,63,52,0,1,0,0
female,group A,high school,free/reduced,completed,90,27,88,0,1,0,0
male,group B,high school,free/reduced,completed,60,65,46,1,0,0,0
male,group A,some high school,free/reduced,completed,43,79,99,0,1,0,0
female,group C,master's degree,free/reduced,completed,54,49,84,0,1,0,0
female,group B,master's degree,free/reduced,completed,62,95,36,0,1,0,0
male,group A,associate's degree,standard,none,65,67,59,0,1,0,0
male,group D,high school,free/reduced,none,13,69,74,1,0,0,0
male,group D,high school,free/reduced,completed,73,86,55,0,1,0,0
female,group A,some high school,free/reduced,none,54,32,79,1,0,0,0
male,group A,high school,standard,none,14,85,62,1,0,0,0
female,group D,bachelor's degree,standard,completed,81,92,95,0,0,1,0
female,group B,master's degree,free/reduced,completed,55,56,74,0,1,0,0
female,group C,bachelor's degree,free/reduced,completed,53,93,100,0,0,1,0
male,group B,high school,standard,none,85,68,30,0,1,0,0
male,group C,high school,standard,none,75,62,47,0,1,0,0
male,group A,some high school,free/reduced,none,72,41,61,1,0,0,0
male,group C,some high school,free/reduced,none,61,64,78,0,1,0,0
male,group C,some high school,free/reduced,none,43,74,98,0,1,0,0
male,group A,some high school,free/reduced,completed,74,54,51,1,0,0,0
male,group C,bachelor's degree,free/reduced,completed,94,75,90,0,0,1,0
female,group E,bachelor's degree,standard,none,100,65,100,0,0,1,0
male,group A,master's degree,free/reduced,completed,100,60,70,0,1,0,0
female,group C,associate's degree,standard,completed,55,48,79,0,1,0,0
male,group A,master's degree,standard,none,57,74,61,0,1,0,0
female,group C,associate's degree,standard,completed,58,68,29,1,0,0,0
male,group E,associate's degree,standard,none,73,63,79,0,1,0,0
female,group E,associate's degree,free/reduced,completed,60,53,55,1,0,0,0
female,group D,some high school,free/reduced,completed,69,87,94,0,0,1,0
